encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp,mode
categorical,0.75,300000,50000,0.5045092746100497,0.5117400337109482,0.50176,0.5025599568849367,0.5212617288880016,5.674072980880737,9551,kip_m6,2026-09-10T15:21:27.368610,ordered
categorical,1.0,400000,50000,0.4975525616702998,0.4784199584199584,0.49824,0.4990674474083713,0.459413056498303,6.900188684463501,9551,kip_m6,2026-09-10T15:21:34.499369,ordered
tfidf,0.01,4000,50000,0.5048819806176171,0.5002719526198103,0.50386,0.5048381850707432,0.4957875823517668,7.01683497428894,9551,kip_m6,2026-09-10T15:21:41.732614,ordered
tfidf,0.1,40000,50000,0.4984845294898755,0.4485558774471073,0.49748,0.4980262196013451,0.4080255540027949,8.599778890609741,9551,kip_m6,2026-09-10T15:21:50.560195,ordered
tfidf,0.3,120000,50000,0.5030966196330476,0.3537760281777685,0.50096,0.5034274342153755,0.2727091235775604,10.71885633468628,9551,kip_m6,2026-09-10T15:22:01.501665,ordered
tfidf,0.5,200000,50000,0.5005090376492818,0.5578481035000088,0.49898,0.4999050993293686,0.6309842283889,14.253684520721436,9551,kip_m6,2026-09-10T15:22:15.986141,ordered
tfidf,0.75,300000,50000,0.4999507110403037,0.5075072128123098,0.49814,0.4990735736894928,0.5162307845877421,16.564915657043457,9551,kip_m6,2026-09-10T15:22:32.787146,ordered
tfidf,1.0,400000,50000,0.5040215810299226,0.4805354573698367,0.50174,0.5028803351662738,0.4600918346975444,19.931968450546265,9551,kip_m6,2026-09-10T15:22:52.957323,ordered
basic,0.01,4000,50000,0.4973728236494363,0.4294257281110198,0.50004,0.4974879686921571,0.3777456531341605,1.3784198760986328,9551,kip_m4,2026-09-10T15:28:00.202001,shuffled_train
basic,0.1,40000,50000,0.5008255724284976,0.5522347921186151,0.5005,0.4988339703310229,0.6184395454362929,1.6287047863006592,9551,kip_m4,2026-09-10T15:28:02.047176,shuffled_train
basic,0.3,120000,50000,0.4952190264253114,0.4955337472461446,0.49624,0.4943061493586926,0.4967674577360157,2.4388415813446045,9551,kip_m4,2026-09-10T15:28:04.708059,shuffled_train
basic,0.5,200000,50000,0.5001159361453491,0.4989668385258892,0.5005,0.4985567671584349,0.4993775850299161,3.476576566696167,9551,kip_m4,2026-09-10T15:28:08.406223,shuffled_train
basic,0.75,300000,50000,0.5013170366271963,0.5116515682169481,0.50082,0.4989315423948714,0.5250371441191825,7.435701131820679,9551,kip_m4,2026-09-10T15:28:16.065865,shuffled_train
basic,1.0,400000,50000,0.4984845483857852,0.4840311986863711,0.49724,0.4950665491035815,0.4734770911135204,5.535974740982056,9551,kip_m4,2026-09-10T15:28:21.823141,shuffled_train
categorical,0.01,4000,50000,0.4998315582642108,0.4830482179426184,0.50018,0.4981228668941979,0.4688591735935429,4.313155651092529,9551,kip_m4,2026-09-10T15:28:26.352806,shuffled_train
categorical,0.1,40000,50000,0.5005507010904745,0.5083832923832924,0.49978,0.4979208378253504,0.5192948640726017,4.36163067817688,9551,kip_m4,2026-09-10T15:28:30.936070,shuffled_train
categorical,0.3,120000,50000,0.4976075719834316,0.4834080348698548,0.49748,0.4953022961870655,0.4720716379552664,5.367508411407471,9551,kip_m4,2026-09-10T15:28:36.521769,shuffled_train
categorical,0.5,200000,50000,0.4973391447424206,0.4823570705923647,0.49858,0.4964300892477688,0.4690599526161507,6.108691453933716,9551,kip_m4,2026-09-10T15:28:42.848959,shuffled_train
categorical,0.75,300000,50000,0.5013843288402401,0.5020233230339879,0.50038,0.4984561792415485,0.5056418905352769,4.9645676612854,9551,kip_m4,2026-09-10T15:28:48.033765,shuffled_train
categorical,1.0,400000,50000,0.5068373477321677,0.485968514715948,0.50434,0.5025740025740025,0.4704252499698831,7.751332998275757,9551,kip_m4,2026-09-10T15:28:56.001680,shuffled_train
tfidf,0.01,4000,50000,0.5041504968832402,0.3610637748515363,0.50508,0.5056772980400666,0.2807693852146328,6.845390558242798,9551,kip_m4,2026-09-10T15:29:03.063474,shuffled_train
tfidf,0.1,40000,50000,0.4996570684373711,0.5209623310648902,0.50022,0.4984227129337539,0.5456370718387343,8.528122901916504,9551,kip_m4,2026-09-10T15:29:11.829083,shuffled_train
tfidf,0.3,120000,50000,0.5005798871298528,0.5030633488648756,0.49874,0.4968666771110763,0.509416536160302,13.443023681640623,9551,kip_m4,2026-09-10T15:29:25.497982,shuffled_train
tfidf,0.5,200000,50000,0.5025374477997542,0.5096453509014163,0.5028,0.5008334948633456,0.5187728386138216,14.694164752960203,9551,kip_m4,2026-09-10T15:29:40.422063,shuffled_train
